variable,importancia
promedio_intervalos_previos,0.15930288890528113
std_intervalos,0.15329613902859848
mes,0.08377059413846685
dia_semana,0.07233738043690877
total_compras,0.06726800695188893
gasto_total,0.06714377271719064
frecuencia_compra,0.06269165396825786
cantidad_promedio,0.052191162328456026
tendencia_gasto,0.051803061710595795
recencia,0.05033925651274931
dias_como_cliente,0.048978935449145736
gasto_promedio,0.04882832660796222
trimestre,0.03631614883016096
es_fin_semana,0.015474519497995732
tipo_negocio_encoded,0.014036531026434271
ciudad_encoded,0.011167565572252127
categorias_distintas,0.005054056317655231
